COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
-12	-2.46E-11
-11.8	-1.99E-11
-11.6	-1.87E-11
-11.4	-1.64E-11
-11.2	-1.31E-11
-11	-1.21E-11
-10.8	-8.88E-12
-10.6	-7.60E-12
-10.4	-5.97E-12
-10.2	-3.11E-12
-10	-2.03E-12
-9.8	-2.70E-13
-9.6	-1.84E-11
-9.4	-8.80E-13
-9.2	3.39E-12
-9	5.49E-12
-8.8	7.67E-12
-8.6	1.06E-11
-8.4	1.22E-11
-8.2	1.47E-11
-8	1.62E-11
-7.8	1.81E-11
-7.6	2.02E-11
-7.4	2.16E-11
-7.2	2.36E-11
-7	2.54E-11
-6.8	2.67E-11
-6.6	2.88E-11
-6.4	3.00E-11
-6.2	3.14E-11
-6	3.33E-11
-5.8	3.42E-11
-5.6	3.56E-11
-5.4	3.71E-11
-5.2	3.80E-11
-5	3.98E-11
-4.8	4.03E-11
-4.6	4.15E-11
-4.4	4.31E-11
-4.2	4.38E-11
-4	4.50E-11
-3.8	4.61E-11
-3.6	4.71E-11
-3.4	4.83E-11
-3.2	4.87E-11
-3	4.99E-11
-2.8	5.08E-11
-2.6	5.16E-11
-2.4	5.28E-11
-2.2	5.30E-11
-2	5.38E-11
-1.8	5.49E-11
-1.6	5.53E-11
-1.4	5.64E-11
-1.2	5.76E-11
-1	5.80E-11
-0.8	5.91E-11
-0.6	5.92E-11
-0.4	5.99E-11
-0.2	6.10E-11
0	6.21E-11
0.2	6.26E-11
0.4	6.30E-11
0.6	6.33E-11
0.8	6.44E-11
1	6.47E-11
1.2	6.53E-11
1.4	6.62E-11
1.6	6.64E-11
1.8	6.72E-11
2	6.77E-11
2.2	6.83E-11
2.4	6.94E-11
2.6	6.96E-11
2.8	7.05E-11
3	7.07E-11
3.2	7.13E-11
3.4	7.23E-11
3.6	7.25E-11
3.8	7.30E-11
4	5.83E-11
4.2	5.33E-11
4.4	5.21E-11
4.6	4.99E-11
4.8	4.93E-11
5	4.78E-11
5.2	4.81E-11
5.4	4.69E-11
5.6	4.75E-11
5.8	4.66E-11
6	4.70E-11
6.2	4.61E-11
6.4	4.67E-11
6.6	4.59E-11
6.8	4.69E-11
7	4.62E-11
7.2	4.71E-11
7.4	4.60E-11
7.6	4.70E-11
7.8	4.64E-11
8	4.74E-11
8.2	4.68E-11
8.4	4.86E-11
8.6	4.75E-11
8.8	4.82E-11
9	4.77E-11
9.2	4.85E-11
9.4	4.83E-11
9.6	4.78E-11
9.8	4.78E-11
10	4.91E-11
10.2	4.88E-11
10.4	4.98E-11
10.6	4.94E-11
10.8	5.06E-11
11	5.00E-11
11.2	5.09E-11
11.4	5.05E-11
11.6	5.17E-11
11.8	5.12E-11
12	5.19E-11
12.2	5.15E-11
12.4	5.24E-11
12.6	5.22E-11
12.8	5.29E-11
13	5.27E-11
13.2	5.40E-11
13.4	5.35E-11
13.6	5.44E-11
13.8	5.40E-11
14	5.38E-11
14.2	5.52E-11
