-18.2	7.14E-09
-18	7.87E-09
-17.8	8.66E-09
-17.6	9.49E-09
-17.4	1.01E-08
-17.2	1.11E-08
-17	1.21E-08
-16.8	1.32E-08
-16.6	1.43E-08
-16.4	1.55E-08
-16.2	1.68E-08
-16	1.82E-08
-15.8	1.96E-08
-15.6	2.11E-08
-15.4	2.26E-08
-15.2	2.43E-08
-15	2.60E-08
-14.8	2.79E-08
-14.6	2.98E-08
-14.4	3.18E-08
-14.2	3.39E-08
-14	3.61E-08
-13.8	3.84E-08
-13.6	4.08E-08
-13.4	4.33E-08
-13.2	4.59E-08
-13	4.86E-08
-12.8	5.15E-08
-12.6	5.44E-08
-12.4	5.75E-08
-12.2	6.06E-08
-12	6.39E-08
-11.8	6.73E-08
-11.6	7.08E-08
-11.4	7.44E-08
-11.2	7.82E-08
-11	8.20E-08
-10.8	8.60E-08
-10.6	9.02E-08
-10.4	9.44E-08
-10.2	9.87E-08
-10	1.03E-07
-9.8	1.08E-07
-9.6	1.12E-07
-9.4	1.17E-07
-9.2	1.22E-07
-9	1.27E-07
-8.8	1.32E-07
-8.6	1.37E-07
-8.4	1.43E-07
-8.2	1.48E-07
-8	1.54E-07
-7.8	1.60E-07
-7.6	1.66E-07
-7.4	1.72E-07
-7.2	1.78E-07
-7	1.84E-07
-6.8	1.90E-07
-6.6	1.97E-07
-6.4	2.03E-07
-6.2	2.10E-07
-6	2.16E-07
-5.8	2.23E-07
-5.6	2.30E-07
-5.4	2.37E-07
-5.2	2.44E-07
-5	2.51E-07
-4.8	2.59E-07
-4.6	2.66E-07
-4.4	2.74E-07
-4.2	2.81E-07
-4	2.89E-07
-3.8	2.96E-07
-3.6	3.04E-07
-3.4	3.12E-07
-3.2	3.20E-07
-3	3.28E-07
-2.8	3.36E-07
-2.6	3.44E-07
-2.4	3.52E-07
-2.2	3.61E-07
-2	3.69E-07
-1.8	3.78E-07
-1.6	3.86E-07
-1.4	3.95E-07
-1.2	4.03E-07
-1	4.12E-07
-0.8	4.21E-07
-0.6	4.30E-07
-0.4	4.38E-07
-0.2	4.47E-07
0	4.56E-07
0.2	4.65E-07
0.4	4.75E-07
0.6	4.84E-07
0.8	4.93E-07
1	5.02E-07
1.2	5.11E-07
1.4	5.21E-07
1.6	5.30E-07
1.8	5.40E-07
2	5.49E-07
2.2	5.59E-07
2.4	5.68E-07
2.6	5.78E-07
2.8	5.88E-07
3	5.97E-07
3.2	6.07E-07
3.4	6.17E-07
3.6	6.27E-07
3.8	6.37E-07
4	6.46E-07
4.2	6.55E-07
4.4	6.64E-07
4.6	6.73E-07
4.8	6.81E-07
5	6.90E-07
5.2	6.99E-07
5.4	7.09E-07
5.6	7.18E-07
5.8	7.27E-07
6	7.37E-07
6.2	7.46E-07
6.4	7.56E-07
6.6	7.65E-07
6.8	7.75E-07
7	7.84E-07
7.2	7.94E-07
7.4	8.04E-07
7.6	8.14E-07
7.8	8.24E-07
8	8.34E-07
