COLUMN 1 - Plot 0	COLUMN 4 - Plot 0
18.8	1.21E-10
19	1.21E-10
19.2	1.22E-10
19.4	1.22E-10
19.6	1.23E-10
19.8	1.23E-10
20	1.24E-10
20	1.31E-10
19.8	1.11E-10
19.6	9.89E-11
19.4	9.00E-11
19.2	8.11E-11
19	7.36E-11
18.8	6.62E-11
18.6	5.81E-11
18.4	5.06E-11
18.2	4.28E-11
18	3.56E-11
17.8	3.05E-11
17.6	3.00E-11
17.4	3.11E-11
17.2	3.23E-11
17	3.33E-11
16.8	3.26E-11
16.6	3.22E-11
16.4	3.11E-11
16.2	3.12E-11
16	2.99E-11
15.8	2.81E-11
15.6	2.67E-11
15.4	2.59E-11
15.2	2.53E-11
15	2.43E-11
14.8	2.31E-11
14.6	2.23E-11
14.4	2.17E-11
14.2	2.10E-11
14	1.99E-11
13.8	1.93E-11
13.6	1.84E-11
13.4	1.78E-11
13.2	1.72E-11
13	2.37E-11
12.8	1.89E-11
12.6	1.68E-11
12.4	1.60E-11
12.2	1.49E-11
12	1.41E-11
11.8	1.36E-11
11.6	1.30E-11
11.4	1.21E-11
11.2	1.14E-11
11	1.08E-11
10.8	1.02E-11
10.6	9.69E-12
10.4	9.12E-12
10.2	8.60E-12
10	8.11E-12
9.8	6.71E-12
9.6	6.51E-12
9.4	5.74E-12
9.2	1.20E-11
9	7.01E-12
8.8	5.53E-12
8.6	4.31E-12
8.4	3.54E-12
8.2	2.92E-12
8	1.70E-12
7.8	1.21E-12
7.6	7.50E-13
7.4	-5.40E-13
7.2	-8.70E-13
7	-1.45E-12
6.8	-2.55E-12
6.6	-3.18E-12
6.4	-3.64E-12
6.2	-4.61E-12
6	-5.39E-12
5.8	-6.29E-12
5.6	-6.73E-12
5.4	-7.86E-12
5.2	-8.88E-12
5	-9.64E-12
4.8	-1.04E-11
4.6	-1.16E-11
4.4	-1.23E-11
4.2	-1.33E-11
4	-1.46E-11
3.8	-1.55E-11
3.6	-1.65E-11
3.4	-1.81E-11
3.2	-1.90E-11
3	-2.08E-11
2.8	-2.21E-11
2.6	-2.36E-11
2.4	-2.56E-11
2.2	-2.66E-11
2	-2.86E-11
1.8	-3.05E-11
1.6	-3.26E-11
1.4	-1.15E-11
1.2	-3.09E-11
1	-3.69E-11
0.8	-4.08E-11
0.6	-4.52E-11
0.4	-4.89E-11
0.2	-5.37E-11
0	-5.96E-11
-0.2	-6.66E-11
-0.4	-7.32E-11
-0.6	-8.24E-11
-0.8	-9.19E-11
-1	-1.02E-10
-1.2	-1.09E-10
-1.4	-1.04E-10
-1.6	-9.30E-11
-1.8	-7.87E-11
-2	-6.95E-11
-2.2	-6.39E-11
-2.4	-5.92E-11
-2.6	-5.68E-11
-2.8	-5.59E-11
-3	-5.49E-11
-3.2	-5.47E-11
-3.4	-5.50E-11
-3.6	-5.47E-11
-3.8	-5.49E-11
-4	-5.52E-11
-4.2	-5.55E-11
-4.4	-5.54E-11
-4.6	-5.53E-11
-4.8	-5.59E-11
-5	-5.63E-11
-5.2	-5.59E-11
-5.4	-5.59E-11
-5.6	-5.70E-11
-5.8	-5.70E-11
-6	-5.69E-11
-6.2	-5.73E-11
-6.4	-5.73E-11
-6.6	-5.80E-11
-6.8	-5.80E-11
-7	-5.78E-11
-7.2	-5.88E-11
-7.4	-5.86E-11
-7.6	-5.87E-11
-7.8	-5.92E-11
-8	-5.96E-11
-8.2	-5.95E-11
-8.4	-6.00E-11
-8.6	-6.02E-11
-8.8	-6.04E-11
-9	-6.06E-11
-9.2	-6.10E-11
-9.4	-6.14E-11
-9.6	-6.16E-11
-9.8	-6.17E-11
-10	-4.79E-11
-10.2	-4.37E-11
-10.4	-4.21E-11
-10.6	-4.05E-11
-10.8	-4.01E-11
-11	-3.89E-11
-11.2	-3.91E-11
-11.4	-3.80E-11
-11.6	-3.85E-11
-11.8	-3.75E-11
-12	-3.78E-11
-12.2	-3.75E-11
-12.4	-3.78E-11
-12.6	-3.75E-11
-12.8	-3.79E-11
-13	-3.73E-11
-13.2	-3.82E-11
-13.4	-3.77E-11
-13.6	-3.80E-11
-13.8	-3.81E-11
-14	-3.84E-11
-14.2	-3.82E-11
-14.4	-3.88E-11
-14.6	-3.88E-11
-14.8	-3.91E-11
-15	-3.88E-11
-15.2	-3.99E-11
-15.4	-3.96E-11
-15.6	-4.06E-11
-15.8	-4.02E-11
-16	-4.10E-11
-16.2	-4.12E-11
-16.4	-4.21E-11
-16.6	-4.16E-11
-16.8	-4.26E-11
-17	-4.26E-11
-17.2	-4.32E-11
-17.4	-4.32E-11
-17.6	-4.47E-11
-17.8	-4.46E-11
-18	-4.53E-11
-18.2	-4.56E-11
-18.4	-4.69E-11
-18.6	-4.65E-11
-18.8	-4.77E-11
-19	-4.74E-11
-19.2	-4.88E-11
-19.4	-4.87E-11
-19.6	-5.00E-11
-19.8	-5.04E-11
-20	-5.17E-11
-20	-4.75E-11
-19.8	-3.49E-11
-19.6	-2.81E-11
-19.4	-2.33E-11
-19.2	-1.95E-11
-19	-1.68E-11
-18.8	-1.31E-11
-18.6	-1.17E-11
-18.4	-9.07E-12
-18.2	-7.90E-12
-18	-5.66E-12
-17.8	-4.62E-12
-17.6	-3.00E-12
-17.4	-2.18E-12
-17.2	-2.80E-13
-17	-7.00E-14
-16.8	1.42E-12
-16.6	2.35E-12
-16.4	2.86E-12
-16.2	5.40E-13
-16	5.60E-13
-15.8	1.31E-12
-15.6	-1.90E-13
-15.4	-5.09E-12
-15.2	-1.33E-12
-15	-1.86E-12
-14.8	8.40E-13
-14.6	2.15E-12
-14.4	3.92E-12
-14.2	4.58E-12
-14	5.57E-12
-13.8	5.84E-12
-13.6	7.19E-12
-13.4	8.36E-12
-13.2	8.67E-12
-13	1.01E-11
-12.8	1.07E-11
-12.6	1.14E-11
-12.4	1.26E-11
-12.2	1.20E-11
-12	2.43E-11
-11.8	2.81E-11
-11.6	3.11E-11
-11.4	3.36E-11
-11.2	3.54E-11
-11	3.75E-11
-10.8	3.78E-11
-10.6	3.92E-11
-10.4	4.03E-11
-10.2	4.12E-11
-10	4.18E-11
-9.8	4.29E-11
-9.6	4.36E-11
-9.4	4.47E-11
-9.2	4.61E-11
-9	4.70E-11
-8.8	4.78E-11
-8.6	4.83E-11
-8.4	4.90E-11
-8.2	5.04E-11
-8	5.14E-11
-7.8	5.16E-11
-7.6	5.35E-11
-7.4	5.41E-11
-7.2	5.56E-11
-7	5.95E-11
-6.8	6.24E-11
-6.6	6.77E-11
-6.4	7.59E-11
-6.2	8.25E-11
-6	8.33E-11
-5.8	9.53E-11
-5.6	1.02E-10
-5.4	1.05E-10
-5.2	1.08E-10
-5	1.09E-10
-4.8	1.10E-10
-4.6	1.10E-10
-4.4	1.10E-10
-4.2	1.10E-10
-4	1.10E-10
-3.8	1.09E-10
-3.6	1.08E-10
-3.4	1.08E-10
-3.2	1.06E-10
-3	1.05E-10
-2.8	1.05E-10
-2.6	1.04E-10
-2.4	1.03E-10
-2.2	1.03E-10
-2	1.02E-10
-1.8	1.01E-10
-1.6	1.01E-10
-1.4	1.00E-10
-1.2	9.91E-11
-1	9.93E-11
-0.8	9.88E-11
-0.6	9.58E-11
-0.4	9.70E-11
-0.2	9.70E-11
0	9.68E-11
0.2	9.65E-11
0.4	9.60E-11
0.6	9.59E-11
0.8	9.55E-11
1	9.60E-11
1.2	9.54E-11
1.4	9.50E-11
1.6	9.45E-11
1.8	9.46E-11
2	9.48E-11
2.2	9.40E-11
2.4	9.42E-11
2.6	8.74E-11
2.8	9.15E-11
3	9.26E-11
3.2	9.31E-11
3.4	9.30E-11
3.6	9.33E-11
3.8	9.31E-11
4	9.38E-11
4.2	9.39E-11
4.4	9.44E-11
4.6	9.46E-11
4.8	9.48E-11
5	9.53E-11
5.2	9.59E-11
5.4	9.65E-11
5.6	9.66E-11
5.8	9.73E-11
6	9.83E-11
6.2	9.90E-11
6.4	1.00E-10
6.6	1.02E-10
6.8	1.03E-10
7	1.05E-10
7.2	1.06E-10
7.4	1.08E-10
7.6	1.09E-10
7.8	1.10E-10
8	1.11E-10
8.2	1.12E-10
8.4	1.13E-10
8.6	1.13E-10
8.8	1.13E-10
9	1.14E-10
9.2	1.13E-10
9.4	1.14E-10
9.6	1.13E-10
9.8	1.13E-10
10	1.13E-10
10.2	1.13E-10
10.4	1.13E-10
10.6	1.13E-10
10.8	1.13E-10
11	1.13E-10
11.2	1.13E-10
11.4	1.14E-10
11.6	1.14E-10
11.8	1.14E-10
12	1.14E-10
12.2	1.14E-10
12.4	1.15E-10
12.6	1.14E-10
12.8	1.14E-10
13	1.14E-10
13.2	1.15E-10
13.4	1.15E-10
13.6	1.16E-10
13.8	1.15E-10
14	1.16E-10
14.2	1.16E-10
14.4	1.16E-10
14.6	1.17E-10
14.8	1.16E-10
15	1.17E-10
15.2	1.17E-10
15.4	1.17E-10
15.6	1.18E-10
15.8	1.18E-10
16	1.18E-10
16.2	1.19E-10
16.4	1.19E-10
16.6	1.23E-10
16.8	1.26E-10
17	1.32E-10
17.2	1.33E-10
17.4	1.31E-10
17.6	1.32E-10
17.8	1.33E-10
18	1.32E-10
18.2	1.33E-10
18.4	1.32E-10
18.6	1.31E-10
18.8	1.31E-10
19	1.32E-10
19.2	1.35E-10
19.4	2.03E-10
19.6	1.43E-10
19.8	1.44E-10
20	1.40E-10
20	1.48E-10
19.8	1.25E-10
19.6	1.11E-10
19.4	9.74E-11
19.2	9.78E-11
19	8.37E-11
18.8	7.02E-11
18.6	6.22E-11
18.4	5.19E-11
18.2	4.48E-11
18	4.25E-11
17.8	4.16E-11
17.6	4.33E-11
17.4	4.33E-11
17.2	4.22E-11
17	4.22E-11
16.8	3.90E-11
16.6	3.84E-11
16.4	3.55E-11
16.2	3.48E-11
16	3.37E-11
15.8	3.20E-11
15.6	3.18E-11
15.4	3.01E-11
15.2	2.95E-11
15	2.78E-11
14.8	2.63E-11
14.6	2.53E-11
14.4	2.45E-11
14.2	2.39E-11
14	2.25E-11
13.8	2.19E-11
13.6	2.15E-11
13.4	3.01E-11
13.2	2.47E-11
13	2.25E-11
12.8	2.16E-11
12.6	2.07E-11
12.4	2.19E-11
12.2	2.20E-11
12	1.88E-11
11.8	1.79E-11
11.6	1.68E-11
11.4	1.50E-11
11.2	1.38E-11
11	1.37E-11
10.8	1.27E-11
10.6	1.21E-11
10.4	1.14E-11
10.2	1.03E-11
10	9.46E-12
9.8	1.14E-11
9.6	4.73E-11
9.4	3.44E-11
9.2	2.44E-11
9	1.75E-11
8.8	9.20E-12
8.6	7.13E-12
8.4	6.50E-12
8.2	5.95E-12
8	5.63E-12
7.8	4.71E-12
7.6	3.95E-12
7.4	3.14E-12
7.2	3.34E-12
7	2.55E-12
6.8	3.58E-12
6.6	2.52E-12
6.4	1.39E-12
6.2	-3.20E-13
6	-1.24E-12
5.8	-2.22E-12
5.6	-2.94E-12
5.4	-4.54E-12
5.2	-4.50E-12
5	-5.81E-12
4.8	-7.44E-12
4.6	-8.67E-12
4.4	-9.79E-12
4.2	-1.12E-11
4	-1.22E-11
3.8	-1.38E-11
3.6	-1.56E-11
3.4	-1.66E-11
3.2	-1.79E-11
3	-1.95E-11
2.8	-2.14E-11
2.6	-1.35E-11
2.4	-2.18E-11
2.2	-2.48E-11
2	-2.76E-11
1.8	-2.95E-11
1.6	-3.20E-11
1.4	-3.35E-11
1.2	-3.61E-11
1	-3.92E-11
0.8	-4.11E-11
0.6	-4.46E-11
0.4	-4.90E-11
0.2	-5.23E-11
0	-5.77E-11
-0.2	-6.38E-11
-0.4	-7.00E-11
-0.6	-7.72E-11
-0.8	-8.55E-11
-1	-9.49E-11
-1.2	-1.04E-10
-1.4	-1.06E-10
-1.6	-1.01E-10
-1.8	-9.06E-11
-2	-7.80E-11
-2.2	-6.99E-11
-2.4	-6.44E-11
-2.6	-6.09E-11
-2.8	-5.79E-11
-3	-5.65E-11
-3.2	-5.66E-11
-3.4	-5.61E-11
-3.6	-5.58E-11
-3.8	-5.60E-11
-4	-5.61E-11
-4.2	-5.62E-11
-4.4	-5.67E-11
-4.6	-5.65E-11
-4.8	-5.65E-11
-5	-5.72E-11
-5.2	-4.48E-11
-5.4	-5.33E-11
-5.6	-5.55E-11
-5.8	-4.22E-11
-6	-5.21E-11
-6.2	-5.37E-11
-6.4	-4.16E-11
-6.6	-5.12E-11
-6.8	-5.38E-11
-7	-4.12E-11
-7.2	-5.19E-11
-7.4	-5.47E-11
-7.6	-4.23E-11
-7.8	-5.19E-11
-8	-4.17E-11
-8.2	-5.22E-11
-8.4	-4.14E-11
-8.6	-5.19E-11
-8.8	-5.47E-11
-9	-5.66E-11
-9.2	-5.73E-11
-9.4	-5.84E-11
-9.6	-5.93E-11
-9.8	-5.99E-11
-10	-5.91E-11
-10.2	-6.00E-11
-10.4	-6.04E-11
-10.6	-6.10E-11
-10.8	-4.66E-11
-11	-4.27E-11
-11.2	-4.15E-11
-11.4	-4.02E-11
-11.6	-3.93E-11
-11.8	-3.87E-11
-12	-3.83E-11
-12.2	-3.85E-11
-12.4	-3.81E-11
-12.6	-3.78E-11
-12.8	-3.80E-11
-13	-3.79E-11
-13.2	-3.80E-11
-13.4	-3.77E-11
-13.6	-3.77E-11
-13.8	-3.80E-11
-14	-3.78E-11
-14.2	-3.81E-11
-14.4	-3.83E-11
-14.6	-3.85E-11
-14.8	-3.89E-11
-15	-3.96E-11
-15.2	-3.94E-11
-15.4	-3.98E-11
-15.6	-3.97E-11
-15.8	-3.99E-11
-16	-4.04E-11
-16.2	-4.05E-11
-16.4	-4.12E-11
-16.6	-4.19E-11
-16.8	-4.25E-11
-17	-4.36E-11
-17.2	-4.36E-11
-17.4	-4.58E-11
-17.6	-4.53E-11
-17.8	-4.67E-11
-18	-4.63E-11
-18.2	-4.67E-11
-18.4	-4.67E-11
-18.6	-4.66E-11
-18.8	-4.72E-11
-19	-4.84E-11
-19.2	-4.92E-11
-19.4	-5.05E-11
-19.6	-5.09E-11
-19.8	-5.15E-11
-20	-5.27E-11
-20	-4.92E-11
-19.8	-3.61E-11
-19.6	-2.95E-11
-19.4	-2.46E-11
-19.2	-2.08E-11
-19	-1.84E-11
-18.8	-1.58E-11
-18.6	-1.33E-11
-18.4	-1.11E-11
-18.2	-9.39E-12
-18	-7.38E-12
-17.8	-5.89E-12
-17.6	-4.62E-12
-17.4	-3.41E-12
-17.2	-1.60E-12
-17	-1.05E-12
-16.8	2.00E-13
-16.6	8.70E-13
-16.4	2.95E-12
-16.2	3.54E-12
-16	4.16E-12
-15.8	4.47E-12
-15.6	5.20E-12
-15.4	6.34E-12
-15.2	7.11E-12
-15	7.53E-12
-14.8	8.30E-12
-14.6	8.50E-12
-14.4	9.86E-12
-14.2	1.01E-11
-14	1.10E-11
-13.8	1.12E-11
-13.6	1.26E-11
-13.4	1.23E-11
-13.2	1.32E-11
-13	1.34E-11
-12.8	1.48E-11
-12.6	1.50E-11
-12.4	1.69E-11
-12.2	1.68E-11
-12	2.88E-11
-11.8	2.04E-11
-11.6	3.12E-11
-11.4	3.46E-11
-11.2	2.36E-11
-11	3.44E-11
-10.8	3.80E-11
-10.6	2.66E-11
-10.4	3.65E-11
-10.2	3.98E-11
-10	2.95E-11
-9.8	3.98E-11
-9.6	4.29E-11
-9.4	4.37E-11
-9.2	4.55E-11
-9	4.68E-11
-8.8	4.74E-11
-8.6	4.89E-11
-8.4	4.99E-11
-8.2	5.11E-11
-8	5.21E-11
-7.8	5.44E-11
-7.6	5.63E-11
-7.4	5.89E-11
-7.2	6.47E-11
-7	6.97E-11
-6.8	7.65E-11
-6.6	8.50E-11
-6.4	9.07E-11
-6.2	9.71E-11
-6	1.00E-10
-5.8	1.03E-10
-5.6	1.06E-10
-5.4	1.07E-10
-5.2	1.03E-10
-5	1.07E-10
-4.8	1.08E-10
-4.6	1.09E-10
-4.4	1.08E-10
-4.2	1.08E-10
-4	1.07E-10
-3.8	1.07E-10
-3.6	1.06E-10
-3.4	1.06E-10
-3.2	1.05E-10
-3	1.05E-10
-2.8	1.04E-10
-2.6	1.03E-10
-2.4	1.03E-10
-2.2	1.03E-10
-2	1.02E-10
-1.8	1.02E-10
-1.6	1.01E-10
